taille,Random,Shuffle,Inverted,AlmostSorted
10000,47,35,32,32
20000,150,132,153,132
30000,315,389,368,320
40000,571,598,596,565
50000,876,901,892,890
60000,1317,1266,1292,1275
70000,1726,1716,1717,1734
80000,2257,2273,2266,2234
90000,2947,2855,2847,2808
100000,3462,3490,3567,4209
